Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
2017S008752,Gràcia,El Camp d'en Grassot I Gràcia Nova,Sardenya,Monday,October,23,8,Morning,1,0,1,2,2.169046,41.406486
2017S009358,Gràcia,El Camp d'en Grassot I Gràcia Nova,Indústria / Sardenya,Saturday,November,11,15,Afternoon,2,0,2,2,2.169782,41.406071000000004
2017S003043,Gràcia,El Camp d'en Grassot I Gràcia Nova,Sardenya / Indústria,Sunday,April,2,15,Afternoon,1,0,1,2,2.169782,41.406071000000004
2017S004814,Gràcia,El Camp d'en Grassot I Gràcia Nova,Còrsega / Sardenya,Thursday,June,1,12,Morning,2,0,2,1,2.170888,41.405232
2017S002262,Horta-Guinardó,Sant Genís Dels Agudells,Natzaret,Tuesday,March,21,9,Morning,1,0,1,2,2.137362,41.427805
2017S007227,Horta-Guinardó,Montbau,Arquitectura / Vayreda,Monday,August,28,4,Night,1,0,1,1,2.139319,41.429776000000004
2017S010659,Horta-Guinardó,Sant Genís Dels Agudells,Vallvidrera Al Tibidabo,Tuesday,December,26,3,Night,0,0,0,1,2.1215080000000004,41.420802
2017S005708,Horta-Guinardó,Montbau,Vall d'Hebron,Friday,June,30,17,Afternoon,1,0,1,1,2.1454880000000003,41.432354
2017S006423,Horta-Guinardó,Montbau,B-20 (Llobregat),Sunday,July,23,5,Night,1,0,1,1,2.142716,41.426426
2017S002179,Horta-Guinardó,Sant Genís Dels Agudells,Ctra Sant Cugat,Saturday,March,18,3,Night,1,0,1,2,2.1335599999999997,41.431616999999996
2017S000756,Horta-Guinardó,la Teixonera,Rda Dalt (Besòs),Saturday,January,28,18,Afternoon,1,0,1,2,2.140479,41.42125
2017S005669,Horta-Guinardó,Sant Genís Dels Agudells,Dalt (Llobregat),Thursday,June,29,18,Afternoon,1,0,1,2,2.1410270000000002,41.422067
2017S010413,Horta-Guinardó,Sant Genís Dels Agudells,Dalt (Llobregat),Saturday,December,16,18,Afternoon,1,0,1,2,2.141889,41.423759000000004
2017S010116,Horta-Guinardó,Sant Genís Dels Agudells,Dalt (Llobregat),Monday,December,4,15,Afternoon,1,0,1,3,2.141889,41.423759000000004
2017S003527,Horta-Guinardó,Sant Genís Dels Agudells,Dalt (Besòs),Thursday,April,20,15,Afternoon,3,0,3,3,2.1442900000000003,41.428936
2017S002523,Horta-Guinardó,la Teixonera,Arenys,Wednesday,March,29,13,Morning,1,0,1,1,2.146229,41.422905
2017S010009,Horta-Guinardó,Sant Genís Dels Agudells,Sant Cugat,Thursday,November,30,16,Afternoon,1,0,1,2,2.135998,41.423833
2017S000039,Horta-Guinardó,la Teixonera,Santa Rosalia / Besòs,Monday,January,2,22,Night,2,0,2,2,2.147046,41.421836
2017S001851,Horta-Guinardó,la Teixonera,Santa Rosalia,Monday,March,6,17,Afternoon,1,0,1,1,2.144971,41.421240000000004
2017S000490,Horta-Guinardó,la Font d'en Fargues,Amílcar / Pg Maragall,Wednesday,January,18,16,Afternoon,2,0,2,3,2.172348,41.426511
2017S010001,Horta-Guinardó,la Font d'en Fargues,Can Mateu,Thursday,November,30,16,Afternoon,1,0,1,1,2.162112,41.427034
2017S005211,Horta-Guinardó,la Font d'en Fargues,Maragall,Wednesday,June,14,13,Morning,0,0,0,2,2.1711099999999997,41.426734
2017S003365,Horta-Guinardó,la Clota,Estatut de Catalunya,Thursday,April,13,13,Morning,0,0,0,2,2.155007,41.430587
2017S002549,Horta-Guinardó,la Font d'en Fargues,Av Mrq Castellbell,Wednesday,March,29,17,Afternoon,0,0,0,2,2.155226,41.429198
2017S008962,Horta-Guinardó,la Clota,Lisboa,Monday,October,30,8,Morning,1,0,1,2,2.153073,41.427301
2017S001447,Horta-Guinardó,la Clota,Pg Vall D'Hebron,Tuesday,February,21,14,Afternoon,1,0,1,2,2.143271,41.425634
2017S001870,Horta-Guinardó,la Clota,Pg Vall D'Hebron,Tuesday,March,7,11,Morning,1,0,1,2,2.144392,41.428067
2017S006368,Horta-Guinardó,la Vall d'Hebron,Cardenal Vidal I Barraquer / Pare Mariana,Friday,July,21,8,Morning,1,0,1,2,2.1510119999999997,41.429863
